date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2024-05-08,10,-0.236701,103.0680,0.053100,-0.002332,-0.002332,-0.095129,0,1,1,0,0.00021116,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021116,0.00021116,0.00000000,-0.00000000,-0.00000000,0.00021116
2024-05-09,11,-0.359794,103.3170,0.053100,0.000260,0.000260,0.102280,0,1,1,0,0.00021120,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021120,0.00021120,-0.00000000,-0.00000000,-0.00000000,0.00021120
2024-05-10,12,-0.433585,103.5787,0.053100,-0.001558,-0.001558,-0.092502,0,1,1,0,0.00021125,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021125,0.00021125,0.00000000,-0.00000000,-0.00000000,0.00021125
2024-05-13,13,-0.100349,103.9503,0.053100,-0.000260,-0.000260,0.013295,0,1,1,0,0.00021129,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021129,0.00021129,-0.00000000,-0.00000000,-0.00000000,0.00021129
2024-05-14,14,0.240229,104.2830,0.053100,0.001561,0.001561,0.044674,0,1,1,0,0.00021134,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021134,0.00021134,-0.00000000,-0.00000000,-0.00000000,0.00021134
2024-05-15,15,-0.276003,104.1463,0.053100,0.005844,0.005844,-0.034091,0,1,1,0,0.00021138,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021138,0.00021138,0.00000000,-0.00000000,-0.00000000,0.00021138
2024-05-16,16,-0.389183,104.0030,0.053100,-0.002324,-0.002324,-0.030341,0,1,1,0,0.00021143,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021143,0.00021143,0.00000000,-0.00000000,-0.00000000,0.00021143
2024-05-17,17,-0.633520,103.8377,0.053100,0.000129,0.000129,0.080141,0,1,1,0,0.00021147,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021147,0.00021147,-0.00000000,-0.00000000,-0.00000000,0.00021147
2024-05-20,18,-1.495872,103.4630,0.053100,0.000518,0.000518,-0.023648,0,1,1,0,0.00021152,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021152,0.00021152,0.00000000,-0.00000000,-0.00000000,0.00021152
2024-05-21,19,-1.490264,103.0167,0.053100,-0.000776,-0.000776,-0.022707,0,1,1,0,0.00021156,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021156,0.00021156,0.00000000,-0.00000000,-0.00000000,0.00021156
2024-05-22,20,-1.359097,102.1133,0.053100,-0.002200,-0.002200,-0.051735,0,1,1,0,0.00021160,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021160,0.00021160,0.00000000,-0.00000000,-0.00000000,0.00021160
2024-05-23,21,-0.955726,101.3563,0.053100,-0.003502,-0.003502,-0.030382,0,1,0,0,0.00021165,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021165,0.00021165,0.00000000,-0.00000000,-0.00000000,0.00021165
2024-05-24,22,-1.187991,100.3813,0.053200,0.003215,0.003515,0.011792,0,1,0,0,0.00021209,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021209,0.00021209,-0.00000000,-0.00000000,-0.00000000,0.00021209
2024-05-27,23,-1.187991,99.1287,0.053200,0.000000,0.000000,0.000000,0,1,0,0,0.00021214,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021214,0.00021214,-0.00000000,-0.00000000,-0.00000000,0.00021214
2024-05-28,24,-0.863046,98.1313,0.053200,-0.004021,-0.004021,-0.012987,0,1,0,0,0.00021218,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021218,0.00021218,0.00000000,-0.00000000,-0.00000000,0.00021218
