date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2023-02-13,22,-1.430411,110.4653,0.045500,0.002541,0.002541,0.014377,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-14,23,-1.418096,109.8193,0.045500,0.000267,0.000267,0.031496,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-15,24,-1.515120,109.2480,0.045500,-0.001600,-0.001600,0.122137,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-16,25,-1.360173,108.9640,0.045500,-0.008014,-0.008014,-0.076190,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-17,26,-1.404564,108.8387,0.045500,0.003905,0.003905,-0.044183,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-20,27,-1.404564,108.6200,0.045500,0.000000,0.000000,0.000000,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-21,28,-0.843507,108.6233,0.045500,-0.015424,-0.015424,-0.013097,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-22,29,-0.924492,108.7247,0.045500,0.006539,0.006539,0.050742,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-23,30,-0.964615,108.8950,0.045500,0.009880,0.009880,0.017088,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-24,31,-0.649806,109.2047,0.045500,-0.006031,-0.006031,-0.045289,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-27,32,-0.824727,109.4207,0.045500,0.006741,0.006741,-0.017598,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-28,33,-0.613584,109.4650,0.045500,-0.001875,-0.001875,0.060748,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-01,34,-0.770132,109.7473,0.045500,-0.008855,-0.008855,-0.074156,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-02,35,-0.587207,110.0670,0.045500,0.001218,0.001218,0.025377,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-03,36,-0.687857,110.3257,0.045500,0.010276,0.010276,0.054138,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-06,37,-0.338183,110.7757,0.045500,0.000000,0.000000,-0.033749,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-07,38,-0.009829,111.4613,0.045500,-0.007093,-0.007093,-0.088838,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-08,39,-0.217625,112.1953,0.045500,-0.004718,-0.004718,0.010833,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-09,40,-0.237695,113.0287,0.045500,-0.005552,-0.005552,-0.067601,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-10,41,0.453436,114.3407,0.045500,0.000136,0.000136,-0.083112,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-13,42,2.575496,116.6680,0.045500,-0.005447,-0.005447,-0.003857,1,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-14,43,2.211256,119.0050,0.045500,0.007256,0.007256,-0.030978,1,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-15,44,2.113690,121.4157,0.045800,-0.004162,-0.003262,-0.016983,1,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-16,45,1.924575,123.7557,0.045700,0.006846,0.006546,0.012195,1,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-17,46,2.524511,126.4597,0.045500,-0.005361,-0.005961,-0.047189,1,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-20,47,2.519707,129.0267,0.045500,-0.002726,-0.002726,-0.021075,1,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-21,48,1.345626,130.9987,0.045500,0.010933,0.010933,0.130248,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-22,49,0.334747,132.4017,0.045500,0.000946,0.000946,-0.070476,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-23,50,0.767080,134.0333,0.048000,-0.011417,-0.003917,0.023566,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-24,51,1.888721,136.1677,0.048000,-0.002034,-0.002034,0.034034,1,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-27,52,1.259850,137.8677,0.048100,-0.002746,-0.002446,-0.010649,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-28,53,0.970681,139.3800,0.048400,-0.001445,-0.000545,-0.073386,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-29,54,0.705323,140.7780,0.048300,0.012838,0.012538,0.108764,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-30,55,0.243867,141.7857,0.048200,0.006222,0.005922,-0.007619,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-03-31,56,-0.011162,142.6463,0.048700,0.009338,0.010838,0.081574,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-04-03,57,0.114275,143.5817,0.048400,-0.004395,-0.005295,0.001775,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-04-04,58,0.603433,144.5193,0.048300,-0.002627,-0.002927,-0.042515,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-04-05,59,0.912738,145.7090,0.048100,-0.005005,-0.005605,-0.037928,0,0,0,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-04-06,60,0.587090,146.7183,0.048100,0.004429,0.004429,0.016346,0,0,0,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
