date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2022-08-22,16,-0.480156,123.5823,0.022800,-0.011306,-0.011306,-0.046248,0,1,1,0,0.00009061,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009061,0.00009061,0.00000000,-0.00000000,-0.00000000,0.00009061
2022-08-23,17,-0.614329,123.1070,0.022700,0.002797,0.002497,-0.005765,0,1,1,0,0.00009022,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009022,0.00009022,0.00000000,-0.00000000,-0.00000000,0.00009022
2022-08-24,18,-0.667060,123.0080,0.022700,0.001180,0.001180,0.031037,0,1,1,0,0.00009023,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009023,0.00009023,-0.00000000,-0.00000000,-0.00000000,0.00009023
2022-08-25,19,-1.090693,122.6270,0.022800,0.009129,0.009429,0.033080,0,1,1,0,0.00009063,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009063,0.00009063,-0.00000000,-0.00000000,-0.00000000,0.00009063
2022-08-26,20,-1.301770,122.3970,0.022800,-0.016476,-0.016476,-0.213256,0,1,1,0,0.00009064,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009064,0.00009064,0.00000000,-0.00000000,-0.00000000,0.00009064
2022-08-29,21,-0.854335,122.4787,0.022800,-0.003825,-0.003825,-0.023606,0,1,1,0,0.00009065,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009065,0.00009065,0.00000000,-0.00000000,-0.00000000,0.00009065
2022-08-30,22,-1.010407,122.5783,0.022900,-0.007980,-0.007680,-0.018758,0,1,1,0,0.00009105,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009105,0.00009105,0.00000000,-0.00000000,-0.00000000,0.00009105
2022-08-31,23,-1.192436,122.6430,0.022900,-0.005471,-0.005471,-0.004673,0,1,1,0,0.00009106,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009106,0.00009106,0.00000000,-0.00000000,-0.00000000,0.00009106
2022-09-01,24,-1.084567,122.8240,0.022900,-0.002281,-0.002281,-0.011524,0,1,1,0,0.00009107,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009107,0.00009107,0.00000000,-0.00000000,-0.00000000,0.00009107
2022-09-02,25,-1.450031,122.7247,0.022900,-0.000672,-0.000672,-0.030656,0,1,1,0,0.00009108,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009108,0.00009108,0.00000000,-0.00000000,-0.00000000,0.00009108
2022-09-05,26,-1.450031,122.4730,0.022900,0.000000,0.000000,0.000000,0,1,1,0,0.00009109,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009109,0.00009109,-0.00000000,-0.00000000,-0.00000000,0.00009109
2022-09-06,27,-0.647304,122.6393,0.022900,-0.002691,-0.002691,-0.006682,0,1,1,0,0.00009110,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009110,0.00009110,0.00000000,-0.00000000,-0.00000000,0.00009110
2022-09-07,28,-0.688757,123.1673,0.022800,0.014738,0.014438,0.034081,0,1,1,0,0.00009071,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009071,0.00009071,-0.00000000,-0.00000000,-0.00000000,0.00009071
2022-09-08,29,-1.271314,123.3077,0.022800,0.004389,0.004389,0.027754,0,1,1,0,0.00009071,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009071,0.00009071,-0.00000000,-0.00000000,-0.00000000,0.00009071
2022-09-09,30,-1.435581,123.4803,0.022800,0.003973,0.003973,0.107595,0,1,1,0,0.00009072,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009072,0.00009072,-0.00000000,-0.00000000,-0.00000000,0.00009072
2022-09-12,31,-1.331236,123.5660,0.022800,0.003034,0.003034,0.020571,0,1,1,0,0.00009073,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009073,0.00009073,-0.00000000,-0.00000000,-0.00000000,0.00009073
2022-09-13,32,-0.956868,123.5540,0.022800,-0.022751,-0.022751,-0.097051,0,1,1,0,0.00009074,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009074,0.00009074,0.00000000,-0.00000000,-0.00000000,0.00009074
2022-09-14,33,-1.187085,123.6643,0.022700,0.001780,0.001480,0.005787,0,1,1,0,0.00009035,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009035,0.00009035,-0.00000000,-0.00000000,-0.00000000,0.00009035
2022-09-15,34,-1.267973,123.7810,0.022800,-0.006616,-0.006316,-0.013975,0,1,1,0,0.00009076,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009076,0.00009076,0.00000000,-0.00000000,-0.00000000,0.00009076
2022-09-16,35,-1.209248,123.8600,0.022700,0.003681,0.003381,-0.070446,0,1,1,0,0.00009037,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009037,0.00009037,0.00000000,-0.00000000,-0.00000000,0.00009037
2022-09-19,36,-0.631989,124.1823,0.022700,0.003774,0.003774,0.017937,0,1,1,0,0.00009037,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009037,0.00009037,-0.00000000,-0.00000000,-0.00000000,0.00009037
2022-09-20,37,-0.582389,124.5003,0.022600,-0.009904,-0.010204,-0.024670,0,1,1,0,0.00008998,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00008998,0.00008998,0.00000000,-0.00000000,-0.00000000,0.00008998
2022-09-21,38,-0.862560,125.0097,0.022500,-0.002684,-0.002984,-0.036585,0,1,1,0,0.00008959,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00008959,0.00008959,0.00000000,-0.00000000,-0.00000000,0.00008959
2022-09-22,39,-0.772550,125.7037,0.029900,-0.028186,-0.005986,-0.062353,0,1,1,0,0.00011907,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011907,0.00011907,0.00000000,-0.00000000,-0.00000000,0.00011907
2022-09-23,40,-0.419582,126.7370,0.029900,-0.012729,-0.012729,-0.036000,0,1,1,0,0.00011908,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011908,0.00011908,0.00000000,-0.00000000,-0.00000000,0.00011908
